"Title,Rating"
"1. The Shawshank Redemption,9.3"
"2. The Godfather,9.2"
"3. The Dark Knight,9.0"
"4. The Godfather Part II,9.0"
"5. 12 Angry Men,9.0"
"6. The Lord of the Rings: The Return of the King,9.0"
"7. Schindler's List,9.0"
"8. Pulp Fiction,8.9"
"9. The Lord of the Rings: The Fellowship of the Ring,8.9"
"""10. The Good, the Bad and the Ugly"",8.8"
"11. Forrest Gump,8.8"
"12. The Lord of the Rings: The Two Towers,8.8"
"13. Fight Club,8.8"
"14. Inception,8.8"
"15. Star Wars: Episode V - The Empire Strikes Back,8.7"
"16. The Matrix,8.7"
"17. Goodfellas,8.7"
"18. One Flew Over the Cuckoo's Nest,8.7"
"19. Interstellar,8.7"
"20. Se7en,8.6"
"21. It's a Wonderful Life,8.6"
"22. Seven Samurai,8.6"
"23. The Silence of the Lambs,8.6"
"24. Saving Private Ryan,8.6"
"25. City of God,8.6"
"26. The Green Mile,8.6"
"27. Life Is Beautiful,8.6"
"28. Terminator 2: Judgment Day,8.6"
"29. Star Wars: Episode IV - A New Hope,8.6"
"30. Back to the Future,8.5"
"31. Spirited Away,8.6"
"32. The Pianist,8.5"
"33. Gladiator,8.5"
"34. Parasite,8.5"
"35. Psycho,8.5"
"36. The Lion King,8.5"
"37. The Departed,8.5"
"38. Grave of the Fireflies,8.5"
"39. Whiplash,8.5"
"40. American History X,8.5"
"41. Harakiri,8.6"
"42. The Prestige,8.5"
"43. Spider-Man: Across the Spider-Verse,8.5"
"44. Léon: The Professional,8.5"
"45. Casablanca,8.5"
"46. The Usual Suspects,8.5"
"47. The Intouchables,8.5"
"48. Cinema Paradiso,8.5"
"49. Modern Times,8.5"
"50. Alien,8.5"
"51. Rear Window,8.5"
"52. Once Upon a Time in the West,8.5"
"53. Dune: Part Two,8.5"
"54. Django Unchained,8.5"
"55. City Lights,8.5"
"56. Apocalypse Now,8.4"
"57. Memento,8.4"
"58. WALL·E,8.4"
"59. Raiders of the Lost Ark,8.4"
"60. The Lives of Others,8.4"
"61. Avengers: Infinity War,8.4"
"62. Sunset Boulevard,8.4"
"63. Spider-Man: Into the Spider-Verse,8.4"
"64. 12th Fail,8.8"
"65. Paths of Glory,8.4"
"66. Witness for the Prosecution,8.4"
"67. The Shining,8.4"
"68. The Great Dictator,8.4"
"69. Aliens,8.4"
"70. Inglourious Basterds,8.4"
"71. The Dark Knight Rises,8.4"
"72. Coco,8.4"
"73. Amadeus,8.4"
"74. Toy Story,8.3"
"75. Oldboy,8.3"
"76. Avengers: Endgame,8.4"
"77. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3"
"78. American Beauty,8.3"
"79. Good Will Hunting,8.3"
"80. Braveheart,8.3"
"81. Das Boot,8.4"
"82. Princess Mononoke,8.3"
"83. Your Name.,8.4"
"84. High and Low,8.4"
"85. 3 Idiots,8.4"
"86. Joker,8.3"
"87. Once Upon a Time in America,8.3"
"88. Singin' in the Rain,8.3"
"89. Capernaum,8.4"
"90. Come and See,8.3"
"91. Requiem for a Dream,8.3"
"92. Toy Story 3,8.3"
"93. Star Wars: Episode VI - Return of the Jedi,8.3"
"94. The Hunt,8.3"
"95. Eternal Sunshine of the Spotless Mind,8.3"
"96. Ikiru,8.3"
"97. 2001: A Space Odyssey,8.3"
"98. Reservoir Dogs,8.3"
"99. The Apartment,8.3"
"100. Lawrence of Arabia,8.3"
"101. Incendies,8.3"
"102. Scarface,8.3"
"103. Double Indemnity,8.3"
"104. North by Northwest,8.3"
"105. Citizen Kane,8.3"
"106. Heat,8.3"
"107. M,8.3"
"108. Full Metal Jacket,8.2"
"109. Up,8.3"
"110. Vertigo,8.3"
"111. Amélie,8.3"
"112. Oppenheimer,8.3"
"113. A Clockwork Orange,8.2"
"114. To Kill a Mockingbird,8.3"
"115. A Separation,8.3"
"116. Die Hard,8.2"
"117. The Sting,8.3"
"118. Like Stars on Earth,8.3"
"119. Indiana Jones and the Last Crusade,8.2"
"120. Metropolis,8.3"
"121. Snatch,8.2"
"122. 1917,8.2"
"123. L.A. Confidential,8.2"
"124. Bicycle Thieves,8.3"
"125. Downfall,8.2"
"126. Dangal,8.3"
"127. Taxi Driver,8.2"
"128. Hamilton,8.3"
"129. The Wolf of Wall Street,8.2"
"130. Batman Begins,8.2"
"131. For a Few Dollars More,8.2"
"132. Green Book,8.2"
"133. Some Like It Hot,8.2"
"134. The Truman Show,8.2"
"135. Judgment at Nuremberg,8.3"
"136. The Kid,8.2"
"137. The Father,8.2"
"138. Shutter Island,8.2"
"139. All About Eve,8.2"
"140. There Will Be Blood,8.2"
"141. Jurassic Park,8.2"
"142. Casino,8.2"
"143. The Sixth Sense,8.2"
"144. Ran,8.2"
"145. Top Gun: Maverick,8.2"
"146. No Country for Old Men,8.2"
"147. Pan's Labyrinth,8.2"
"148. The Thing,8.2"
"149. Unforgiven,8.2"
"150. A Beautiful Mind,8.2"
"151. Kill Bill: Vol. 1,8.2"
"152. The Treasure of the Sierra Madre,8.2"
"153. Yojimbo,8.2"
"154. Prisoners,8.2"
"155. Finding Nemo,8.2"
"156. The Great Escape,8.2"
"157. Monty Python and the Holy Grail,8.2"
"158. Howl's Moving Castle,8.2"
"159. The Wild Robot,8.2"
"160. The Elephant Man,8.2"
"161. Dial M for Murder,8.2"
"162. Rashomon,8.2"
"163. Gone with the Wind,8.2"
"164. Chinatown,8.1"
"165. The Secret in Their Eyes,8.2"
"""166. Lock, Stock and Two Smoking Barrels"",8.1"
"167. Klaus,8.2"
"168. Inside Out,8.1"
"169. V for Vendetta,8.1"
"""170. Three Billboards Outside Ebbing, Missouri"",8.1"
"171. Raging Bull,8.1"
"172. The Bridge on the River Kwai,8.1"
"173. Trainspotting,8.1"
"174. Catch Me If You Can,8.1"
"175. Fargo,8.1"
"176. Warrior,8.1"
"177. Harry Potter and the Deathly Hallows: Part 2,8.1"
"178. Gran Torino,8.1"
"179. Spider-Man: No Way Home,8.2"
"180. Million Dollar Baby,8.1"
"181. My Neighbor Totoro,8.1"
"182. Mad Max: Fury Road,8.1"
"183. Ben-Hur,8.1"
"184. Children of Heaven,8.2"
"185. 12 Years a Slave,8.1"
"186. Barry Lyndon,8.1"
"187. Before Sunrise,8.1"
"188. Blade Runner,8.1"
"189. The Grand Budapest Hotel,8.1"
"190. Hacksaw Ridge,8.1"
"191. Dead Poets Society,8.1"
"192. Gone Girl,8.1"
"193. Memories of Murder,8.1"
"194. In the Name of the Father,8.1"
"""195. Monsters, Inc."",8.1"
"196. The Gold Rush,8.1"
"197. Ratatouille,8.1"
"198. Wild Tales,8.1"
"199. How to Train Your Dragon,8.1"
"200. Jaws,8.1"
"201. Sherlock Jr.,8.2"
"202. The Deer Hunter,8.1"
"203. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.6"
"204. The General,8.1"
"205. Mary and Max,8.1"
"206. Maharaja,8.4"
"207. Ford v Ferrari,8.1"
"208. The Wages of Fear,8.1"
"209. On the Waterfront,8.1"
